88134:
 num     #instances         #bytes  class name (module)
 121:            28            672  java.util.jar.Attributes$Name (java.base@26.0.1)
 122:            27            648  java.time.LocalTime (java.base@26.0.1)
 123:            27            648  jdk.internal.classfile.impl.StackMapGenerator$Type (java.base@26.0.1)
 124:            20            640  java.lang.ref.ReferenceQueue (java.base@26.0.1)
 125:            16            640  java.time.format.DateTimeFormatter (java.base@26.0.1)
 126:            20            640  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@26.0.1)
 127:            20            640  java.util.regex.Pattern$Curly (java.base@26.0.1)
 128:            26            624  java.lang.classfile.Opcode$Kind (java.base@26.0.1)
 129:             6            608  [S (java.base@26.0.1)
 130:             3            576  [Ljava.lang.invoke.LambdaForm; (java.base@26.0.1)
 131:             7            560  java.util.concurrent.TimeUnit (java.base@26.0.1)
 132:             1            528  [Ljava.lang.Character; (java.base@26.0.1)
 133:            11            528  ExperimentConfig$ExperimentSpec
 134:             8            512  java.nio.DirectByteBuffer (java.base@26.0.1)
 135:            16            512  java.time.temporal.ChronoUnit (java.base@26.0.1)
 136:            16            512  jdk.internal.classfile.impl.AbstractPoolEntry$MethodRefEntryImpl (java.base@26.0.1)
 137:            16            512  jdk.internal.classfile.impl.AbstractPoolEntry$NameAndTypeEntryImpl (java.base@26.0.1)
 138:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@26.0.1)
 139:            21            504  java.util.ImmutableCollections$ListN (java.base@26.0.1)
 140:            15            480  java.lang.invoke.VarForm (java.base@26.0.1)
 141:            20            480  java.time.Duration (java.base@26.0.1)
 142:            20            480  java.util.regex.Pattern$BmpCharProperty (java.base@26.0.1)
 143:             7            448  java.util.LinkedHashMap (java.base@26.0.1)
 144:            11            440  java.lang.OutOfMemoryError (java.base@26.0.1)
 145:             1            432  [[[C (java.base@26.0.1)
 146:            18            432  java.lang.invoke.Invokers (java.base@26.0.1)
 147:            18            432  java.text.DateFormat$Field (java.base@26.0.1)
 148:            14            416  [Ljava.io.ObjectStreamField; (java.base@26.0.1)
 149:            13            416  sun.security.jca.ProviderConfig (java.base@26.0.1)
 150:            10            400  java.lang.classfile.TypeKind (java.base@26.0.1)
 151:            10            400  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@26.0.1)
 152:             8            392  [LExperimentConfig$DatasetRun;
 153:             8            384  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@26.0.1)
 154:             1            360  java.util.concurrent.ForkJoinPool (java.base@26.0.1)
 155:             9            360  jdk.internal.classfile.impl.AbstractPoolEntry$ClassEntryImpl (java.base@26.0.1)
 156:             9            360  jdk.internal.constant.PrimitiveClassDescImpl (java.base@26.0.1)
 157:            11            352  java.lang.constant.DirectMethodHandleDesc$Kind (java.base@26.0.1)
 158:            22            352  java.lang.ref.ReferenceQueue$Lock (java.base@26.0.1)
 159:            11            352  jdk.internal.constant.DirectMethodHandleDescImpl (java.base@26.0.1)
 160:             6            336  java.nio.DirectLongBufferU (java.base@26.0.1)
 161:            20            320  java.util.regex.Pattern$$Lambda/0x80000002d (java.base@26.0.1)
 162:            13            312  jdk.internal.constant.ArrayClassDescImpl (java.base@26.0.1)
 163:             2            288  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@26.0.1)
 164:             6            288  java.util.stream.StreamOpFlag (java.base@26.0.1)
 165:             2            288  sun.nio.fs.UnixFileAttributes (java.base@26.0.1)
 166:             9            288  sun.util.logging.PlatformLogger$Level (java.base@26.0.1)
 167:             7            280  sun.util.resources.Bundles$BundleReference (java.base@26.0.1)
 168:            17            272  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@26.0.1)
