# run_id=20260918-1922 git=1f71e20 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --repeats 3
Dataset,MinUtil,BatchID,RunIndex,HAUSP_EHAUSM-R,HAUSP_HAUSP-UB,Status,RunID,UBArm
LEVIATHAN,0.005000,4,2,1983,1983,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,0,0,3340,3340,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,1,0,2637,2637,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,2,0,2248,2248,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,3,0,1988,1988,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,4,0,1907,1907,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,0,1,3340,3340,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,1,1,2637,2637,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,2,1,2248,2248,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,3,1,1988,1988,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,4,1,1907,1907,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,0,2,3340,3340,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,1,2,2637,2637,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,2,2,2248,2248,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,3,2,1988,1988,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
SIGN,0.005000,4,2,1907,1907,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,0,0,6078,6078,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,1,0,4680,4680,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,2,0,3088,3088,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,3,0,2428,2428,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,4,0,2623,2623,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,0,1,6078,6078,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,1,1,4680,4680,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,2,1,3088,3088,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,3,1,2428,2428,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,4,1,2623,2623,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,0,2,6078,6078,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,1,2,4680,4680,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,2,2,3088,3088,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,3,2,2428,2428,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
C8T1S5I8N5K,0.000200,4,2,2623,2623,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
